k,Iris-setosa,Iris-versicolor,Iris-virginica
5,1.0,0.7,0.85
6,1.0,0.733333333333,0.8
7,1.0,0.633333333333,0.85
8,1.0,0.633333333333,0.8
9,1.0,0.633333333333,0.85
10,1.0,0.666666666667,0.85
11,1.0,0.666666666667,1.0
12,1.0,0.666666666667,0.95
13,1.0,0.633333333333,1.0
14,1.0,0.633333333333,1.0
15,1.0,0.633333333333,1.0
16,1.0,0.666666666667,0.95
17,1.0,0.666666666667,0.95
18,1.0,0.666666666667,0.95
19,1.0,0.666666666667,1.0
20,1.0,0.7,0.95
21,1.0,0.7,0.95
22,1.0,0.7,0.95
23,1.0,0.666666666667,0.95
24,1.0,0.7,0.95
